iter	RMSE
476	0.4018093963
477	0.4017513188
478	0.4016047393
479	0.4013982987
480	0.4012433485
481	0.4010859672
482	0.4009911124
483	0.4008170532
484	0.4006920959
485	0.4005538216
486	0.4004535783
487	0.4002366443
488	0.4000479034
489	0.3998823957
490	0.399744415
491	0.3995876907
492	0.3993427242
493	0.3992485731
494	0.3990256069
495	0.3989484125
496	0.3988133441
497	0.3986777173
498	0.3985688913
499	0.3985136348
500	0.3983518009
501	0.3982067097
502	0.3980698565
503	0.3979515405
504	0.3977463055
505	0.397638436
506	0.3975672263
507	0.3974628468
508	0.3972962339
509	0.3971470343
510	0.3969501911
511	0.3967988868
512	0.3967317701
513	0.3967291245
514	0.3965333314
515	0.3963709979
516	0.3962585554
517	0.3961283928
518	0.396009178
519	0.3959221488
520	0.3958167046
521	0.3956082453
522	0.3954798168
523	0.3953080119
524	0.3951784369
525	0.3950960874
526	0.395016014
527	0.3948818442
528	0.3947360557
529	0.3945292906
530	0.3944022173
531	0.3943191992
532	0.3941119985
533	0.3940373377
534	0.3939231554
535	0.3937503744
536	0.393563761
537	0.393435321
538	0.3932871474
539	0.3931056453
540	0.3929243152
541	0.3927014883
542	0.3926435835
543	0.3925236756
544	0.3923395489
545	0.3920794204
546	0.3919732504
547	0.3918556143
548	0.391622047
549	0.3914879987
550	0.391337667
551	0.391201687
552	0.3910493497
553	0.3909645281
554	0.3908135856
555	0.3907565424
556	0.3906000818
557	0.3905090002
558	0.3903570189
559	0.3900792966
560	0.3899912477
561	0.3898514221
562	0.3897229914
563	0.3896443777
564	0.3894916796
565	0.3893934672
566	0.3891636818
567	0.3890363527
568	0.3889520475
569	0.3887772309
570	0.3886654686
571	0.3884727809
572	0.3884253062
573	0.388371098
574	0.3882421043
575	0.3881545685
576	0.3880160665
577	0.3880148247
578	0.3878970236
579	0.38772842
580	0.387614698
581	0.3874871711
582	0.3873481819
583	0.3872012555
584	0.3870901274
585	0.3868935908
586	0.3868026
587	0.3866839535
588	0.3865301041
589	0.3863877853
590	0.3861763908
591	0.3860736961
592	0.3859081677
593	0.3858219125
594	0.3857609012
595	0.3855898218
596	0.3854951172
597	0.3853377597
598	0.3852798986
599	0.3851445771
600	0.3850833414
601	0.3850765201
602	0.3850326047
603	0.3849155899
604	0.3847527843
605	0.3846401104
606	0.3845633788
607	0.3844777059
608	0.3844054699
609	0.3842874337
610	0.3842297457
611	0.384098861
612	0.3839467248
613	0.3838162145
614	0.3836702949
615	0.3835890632
616	0.3835113823
617	0.3833669394
618	0.3832757472
619	0.3830907838
620	0.3828806365
621	0.382756983
622	0.3826287407
623	0.3825586469
624	0.3824203525
625	0.3823386579
626	0.3822052767
627	0.3821095584
628	0.3820048262
629	0.3818683395
630	0.3817631526
631	0.3817084073
632	0.381656488
633	0.3815587952
634	0.3814579421
635	0.3813703734
636	0.381260438
637	0.3811738021
638	0.3810504894
639	0.3809693166
640	0.3808610236
641	0.3807313071
642	0.3805764908
643	0.3802973412
644	0.3802445353
645	0.3801555037
646	0.3800740734
647	0.3800137638
648	0.3799137695
649	0.3798604771
650	0.3797502945
651	0.3796564008
652	0.3795628142
653	0.3794534721
654	0.3792790266
655	0.3791189158
656	0.3790680333
657	0.3789616798
658	0.3788919382
659	0.3786121815
660	0.3784254814
661	0.3783475304
662	0.3782041903
663	0.3780739237
664	0.3779796475
665	0.3779788517
666	0.3778371471
667	0.3777000691
668	0.377615761
669	0.3774505104
670	0.3773630189
671	0.3772599004
672	0.3771261277
673	0.3770003693
674	0.3768999506
675	0.3768131957
676	0.376651044
677	0.3765521822
678	0.3763995779
679	0.3762614307
680	0.3760625962
681	0.3759541928
682	0.3759526806
683	0.375755702
684	0.3756480925
685	0.3755635261
686	0.3755124318
687	0.3754022967
688	0.3753054928
689	0.3752372884
690	0.3750862407
691	0.3750234619
692	0.3749364528
693	0.3748189922
694	0.3747083739
695	0.3746604153
696	0.3744995532
697	0.3743594949
698	0.3742705611
699	0.3741552757
700	0.3740613542
701	0.3739601476
702	0.3738862077
703	0.3738121365
704	0.3737609627
705	0.3737150367
706	0.3736663465
707	0.3734779838
708	0.3734654902
709	0.3733137644
710	0.3732336159
711	0.3731213658
712	0.3730758244
713	0.372983853
714	0.3729499943
715	0.372839496
716	0.3727256747
717	0.3726438987
718	0.3724851653
719	0.3723225752
720	0.3721577511
721	0.3720227316
722	0.3719165031
723	0.3717493315
724	0.3716556855
725	0.3715699295
726	0.3714039505
727	0.3713394178
728	0.3712236531
729	0.3710400184
730	0.3709142008
731	0.3708305954
732	0.3707412544
733	0.370671739
734	0.3705367721
735	0.370416659
736	0.3704011124
737	0.3703731165
738	0.3701823029
739	0.3701337242
740	0.3699736281
741	0.3698554992
742	0.3697457722
743	0.3695566217
744	0.3694672922
745	0.3693439837
746	0.3692427153
747	0.3691112077
748	0.368949794
749	0.3688257523
750	0.3686916396
751	0.3685804274
752	0.3685370138
753	0.3684519859
754	0.3683158456
755	0.3682079571
756	0.3681392231
757	0.3680618214
758	0.3679175029
759	0.3678677747
760	0.3677913967
761	0.3677095388
762	0.3676149336
763	0.367494893
764	0.3674329416
765	0.3673782662
766	0.367274806
767	0.3671999545
768	0.3671356694
769	0.3669895292
770	0.3669295193
771	0.3668659452
772	0.3668257002
773	0.3667878988
774	0.3666197594
775	0.3665323188
776	0.3664431129
777	0.3663322649
778	0.3662604523
779	0.3661963008
780	0.3660328998
781	0.365894456
782	0.3656725645
783	0.3655627114
784	0.3654687223
785	0.3653419003
786	0.365228986
787	0.3650880879
788	0.364952972
789	0.3648521708
790	0.3647580037
791	0.3646226695
792	0.3645455669
793	0.364453244
794	0.3643695055
795	0.3642328457
796	0.3641710974
797	0.364132939
798	0.3640896862
799	0.3639886827
800	0.3639274559
801	0.3638457619
802	0.3638029242
803	0.3637121284
804	0.3636300814
805	0.3635711919
806	0.3635116634
807	0.3634317387
808	0.3633289249
809	0.3632216559
810	0.3631991042
811	0.3631291434
812	0.3630382314
813	0.3629322955
814	0.3628120606
815	0.3627118735
816	0.3626267569
817	0.3624830461
818	0.3624342947
819	0.3622902476
820	0.3621360759
821	0.3620563385
822	0.3619812331
823	0.3618889247
824	0.3617422115
825	0.3616824441
826	0.3616226553
827	0.3615822329
828	0.3614654946
829	0.3613708232
830	0.3613084947
831	0.3611770448
832	0.3610945762
833	0.3609801407
834	0.3608998031
835	0.3608491488
836	0.3607383636
837	0.3606269508
838	0.3605157705
839	0.3604479809
840	0.3603695244
841	0.3602710935
842	0.3601633403
843	0.3600633511
844	0.3599600097
845	0.3598601967
846	0.3597567499
847	0.3596503542
848	0.3595377157
849	0.3594314713
850	0.3593660492
851	0.3593002077
852	0.3592072917
853	0.3591212305
854	0.3590528927
855	0.3589375522
856	0.3587807735
857	0.3585905575
858	0.3585286963
859	0.3583920421
860	0.3583138075
861	0.3582787759
862	0.3581942986
863	0.3581432866
864	0.3579563082
865	0.3578736355
866	0.3578282177
867	0.3577722854
868	0.3577346074
869	0.3576534342
870	0.3575220767
871	0.3574172886
872	0.357283384
873	0.3571975281
874	0.3571627677
875	0.3570138212
876	0.356969066
877	0.356886003
878	0.356852206
879	0.3567762516
880	0.3566897795
881	0.3566289982
882	0.3565922997
883	0.3564915791
884	0.3564148374
885	0.3563617616
886	0.3563085242
887	0.3562088829
888	0.3560880427
889	0.3559792578
890	0.3559209255
891	0.3558667797
892	0.3557193259
893	0.3556226936
894	0.3555460157
895	0.3554544942
896	0.3553883975
897	0.355288146
898	0.355159902
899	0.3550906997
900	0.3550050046
901	0.3549453365
902	0.3548282981
903	0.3546965922
904	0.3545979375
905	0.3544885433
906	0.3543495783
907	0.3542091594
908	0.3541338339
909	0.354071007
910	0.3539492234
911	0.3538706261
912	0.353831491
913	0.3537570466
914	0.3536671618
915	0.3535755533
916	0.3534685996
917	0.3534304449
918	0.3533070322
919	0.3532029173
920	0.3531276846
921	0.3530529466
922	0.3529508417
923	0.3528441417
924	0.3527707317
925	0.3526686415
926	0.3526282378
927	0.3524598968
928	0.3524031269
929	0.3523044486
930	0.3522417944
931	0.3521649341
932	0.3521276655
933	0.352037672
934	0.3518548223
935	0.3516319289
936	0.3515482083
937	0.351451648
938	0.3513645803
939	0.3512896391
940	0.3512497235
941	0.3512045336
942	0.3511429067
943	0.3510502318
944	0.3509823445
945	0.35089783
946	0.3507644249
947	0.3507066625
948	0.3505611146
949	0.3504613612
950	0.3503971866
951	0.3502868579
952	0.3501855681
953	0.3500734505
954	0.3500265044
955	0.3498791881
956	0.3497869835
957	0.3497348867
958	0.3496470923
959	0.3495522149
960	0.3494800723
961	0.3493877129
962	0.3493161456
963	0.3491920738
964	0.3491237758
965	0.3490649834
966	0.3489756044
967	0.3489248593
968	0.3488262262
969	0.3487725018
970	0.3486327198
971	0.348595674
972	0.3485487579
973	0.3484375328
974	0.3483577824
975	0.3482754082
976	0.3482418206
977	0.3481681145
978	0.3481535721
979	0.3481027899
980	0.3480601485
981	0.3478071307
982	0.3477268988
983	0.347684938
984	0.3475980838
985	0.3475346148
986	0.3474546251
987	0.3473874389
988	0.3473116699
989	0.3472430047
990	0.3471682467
991	0.347086755
992	0.3470110885
993	0.3469317443
994	0.3468384913
995	0.3467694601
996	0.3466867041
997	0.3466157665
998	0.3465085501
999	0.3464307807
